Date,AAPL,GOOGL,AMZN
10/19/2016,111.309006,826.840027,817.690002
10/20/2016,111.251968,821.630005,810.320007
10/21/2016,110.814804,824.059998,818.98999
10/24/2016,111.812714,835.73999,838.090027
10/25/2016,112.382919,828.549988,835.179993
10/26/2016,109.854904,822.099976,822.590027
10/27/2016,108.79998,817.349976,818.359985
10/28/2016,108.077698,819.559998,776.320007
10/31/2016,107.906609,809.900024,789.820007
11/1/2016,105.958328,805.47998,785.409973
11/2/2016,106.05336,788.419983,765.559998
11/3/2016,104.916626,782.190002,767.030029
11/4/2016,103.970886,781.099976,755.049988
11/7/2016,105.470665,802.030029,784.929993
11/8/2016,106.091583,811.97998,787.75
11/9/2016,105.91964,805.590027,771.880005
11/10/2016,102.96788,780.289978,742.380005
11/11/2016,103.579254,771.75,739.01001
11/14/2016,100.980919,753.219971,719.070007
11/15/2016,102.318291,775.159973,743.23999
11/16/2016,105.06945,779.97998,746.48999
11/17/2016,105.031227,786.159973,756.400024
11/18/2016,105.136322,775.969971,760.159973
11/21/2016,106.731606,784.799988,780
11/22/2016,106.798477,785,785.330017
11/23/2016,106.253975,779,780.119995
11/25/2016,106.788933,780.22998,780.369995
11/28/2016,106.578766,785.789978,766.77002
11/29/2016,106.473701,789.440002,762.52002
11/30/2016,105.575737,775.880005,750.570007
12/1/2016,104.591812,764.330017,743.650024
12/2/2016,104.983475,764.460022,740.340027
12/5/2016,104.228821,778.219971,759.359985
12/6/2016,105.031227,776.179993,764.719971
12/7/2016,106.062927,791.469971,770.419983
12/8/2016,107.104172,795.169983,767.330017
12/9/2016,108.852295,809.450012,768.659973
12/12/2016,108.231384,807.900024,760.119995
12/13/2016,110.036827,815.340027,774.340027
12/14/2016,110.036827,817.890015,768.820007
12/15/2016,110.638626,815.650024,761
12/16/2016,110.781929,809.840027,757.77002
12/19/2016,111.421944,812.5,766
12/20/2016,111.718086,815.200012,771.219971
12/21/2016,111.823174,812.200012,770.599976
12/22/2016,111.087608,809.679993,766.340027
12/23/2016,111.30732,807.799988,760.590027
12/27/2016,112.014214,809.929993,771.400024
12/28/2016,111.536598,804.570007,772.130005
12/29/2016,111.507927,802.880005,765.150024
12/30/2016,110.638626,792.450012,749.869995
1/3/2017,110.953873,808.01001,753.669983
1/4/2017,110.829704,807.77002,757.179993
1/5/2017,111.393303,813.02002,780.450012
1/6/2017,112.635139,825.210022,795.98999
1/9/2017,113.666824,827.179993,796.919983
1/10/2017,113.781464,826.01001,795.900024
1/11/2017,114.392822,829.859985,799.02002
1/12/2017,113.915184,829.530029,813.640015
1/13/2017,113.714584,830.940002,817.140015
1/17/2017,114.631653,827.460022,809.719971
1/18/2017,114.622086,829.02002,807.47998
1/19/2017,114.421486,824.369995,809.039978
1/20/2017,114.631653,828.169983,808.330017
1/23/2017,114.708061,844.429993,817.880005
1/24/2017,114.602982,849.530029,822.440002
1/25/2017,116.427536,858.450012,836.52002
1/26/2017,116.484856,856.97998,839.150024
1/27/2017,116.494415,845.030029,835.77002
1/30/2017,116.188705,823.830017,830.380005
1/31/2017,115.921227,820.190002,823.47998
2/1/2017,122.990189,815.23999,832.349976
2/2/2017,122.780045,818.26001,839.950012
2/3/2017,123.305435,820.130005,810.200012
2/6/2017,124.461311,821.619995,807.640015
2/7/2017,125.645805,829.22998,812.5
2/8/2017,126.133018,829.880005,819.710022
2/9/2017,127.044449,830.059998,821.359985
2/10/2017,126.756615,834.849976,827.460022
2/13/2017,127.879105,838.960022,836.530029
2/14/2017,129.53891,840.030029,836.390015
2/15/2017,130.009018,837.320007,842.700012
2/16/2017,129.855499,842.169983,844.140015
2/17/2017,130.210526,846.549988,845.070007
2/21/2017,131.150726,849.27002,856.440002
2/22/2017,131.544052,851.359985,855.609985
2/23/2017,130.98761,851,852.190002
2/24/2017,131.11235,847.809998,845.23999
2/27/2017,131.371368,849.669983,848.640015
2/28/2017,131.428955,844.929993,845.039978
3/1/2017,134.11528,856.75,853.080017
3/2/2017,133.318939,849.849976,848.909973
3/3/2017,134.105652,849.080017,849.880005
3/6/2017,133.683517,847.27002,846.609985
3/7/2017,133.856232,851.150024,846.02002
3/8/2017,133.357315,853.640015,850.5
3/9/2017,133.050323,857.840027,853
3/10/2017,133.491669,861.409973,852.460022
3/13/2017,133.549194,864.580017,854.590027
3/14/2017,133.347763,865.909973,852.530029
3/15/2017,134.758087,868.390015,852.969971
3/16/2017,134.978714,870,853.419983
3/17/2017,134.307159,872.369995,852.309998
3/20/2017,135.717484,867.909973,856.969971
3/21/2017,134.163223,850.140015,843.200012
3/22/2017,135.679092,849.799988,848.059998
3/23/2017,135.199371,839.650024,847.380005
3/24/2017,134.930756,835.140015,845.609985
3/27/2017,135.161026,838.51001,846.820007
3/28/2017,137.962479,840.630005,856
3/29/2017,138.269485,849.869995,874.320007
3/30/2017,138.087189,849.47998,876.340027
3/31/2017,137.828171,847.799988,886.539978
4/3/2017,137.866547,856.75,891.51001
4/4/2017,138.893127,852.570007,906.830017
4/5/2017,138.173553,848.909973,909.280029
4/6/2017,137.828171,845.099976,898.280029
4/7/2017,137.521149,842.099976,894.880005
4/10/2017,137.358063,841.700012,907.039978
4/11/2017,135.880585,839.880005,902.359985
4/12/2017,136.043655,841.460022,896.22998
4/13/2017,135.324158,840.179993,884.669983
4/17/2017,136.072449,855.130005,901.98999
4/18/2017,135.468033,853.98999,903.780029
4/19/2017,134.969116,856.51001,899.200012
4/20/2017,136.657715,860.080017,902.059998
4/21/2017,136.494598,858.950012,898.530029
4/24/2017,137.809006,878.929993,907.409973
4/25/2017,138.662857,888.840027,907.619995
4/26/2017,137.847351,889.140015,909.289978
4/27/2017,137.952866,891.440002,918.380005
4/28/2017,137.818558,924.52002,924.98999
5/1/2017,140.629639,932.820007,948.22998
5/2/2017,141.521896,937.090027,946.940002
5/3/2017,141.090149,948.450012,941.030029
5/4/2017,140.58165,954.719971,937.530029
5/5/2017,142.91301,950.280029,934.150024
5/8/2017,146.798615,958.690002,949.039978
5/9/2017,147.7388,956.710022,952.820007
5/10/2017,147.038467,954.840027,948.950012
5/11/2017,148.310089,955.890015,947.619995
5/12/2017,150.381317,955.140015,961.349976
5/15/2017,149.995987,959.219971,957.969971
5/16/2017,149.774414,964.609985,966.070007
5/17/2017,144.745636,942.169983,944.76001
5/18/2017,146.951736,950.5,958.48999
5/19/2017,147.452682,954.650024,959.840027
5/22/2017,148.348648,964.070007,970.669983
5/23/2017,148.165573,970.549988,971.539978
5/24/2017,147.722443,977.609985,980.349976
5/25/2017,148.232986,991.859985,993.380005
5/26/2017,147.982559,993.27002,995.780029
5/30/2017,148.040359,996.169983,996.700012
5/31/2017,147.163681,987.090027,994.619995
6/1/2017,147.568298,988.289978,995.950012
6/2/2017,149.755157,996.119995,1006.72998
6/5/2017,148.290817,1003.880005,1011.340027
